name,alcohol,sugar,acid,oz,style,glass,melt
Last Word,0.235185185185185,0.114074074074074,0.0111111111111111,4.05,shaken,coupe,0.35
Alabazam,0.237037037037037,0.0837777777777778,0.00444444444444444,3.375,shaken,coupe,0.35
Champs Elysees,0.237699484424512,0.0787732811948271,0.00897606306586697,5.01333376,,,0.28
Martinez,0.239746095031738,0.0639648699340788,0.00175781228027346,3.41333376,,,0.28
Corn 'n' Oil,0.242424242424242,0.00121212121212121,0.00454545454545455,3.3,built,old-fashioned,0.2
Brandy Crusta,0.246153846153846,0.0422792022792023,0.00683760683760684,4.3875,shaken,coupe,0.35
Japanese Cocktail,0.246153846153846,0.123076923076923,0,3.25,stirred,coupe,0.3
Bourbon Manhattan,0.247435897435897,0.041025641025641,0.00153846153846154,3.9,stirred,coupe,0.3
Jersey Julep,0.25,0.13671875,0,3.2,,,0.28
Sidecar,0.25,0.0545833333333333,0.009375,4.8,,,0.28
Pegu Club,0.250712250712251,0.0325925925925926,0.00683760683760684,4.3875,shaken,coupe,0.35
Old Pal,0.25521978021978,0.0445054945054945,0.000989010989010989,4.55,stirred,coupe,0.3
Black Feather,0.258241758241758,0.0340659340659341,0.00131868131868132,4.55,stirred,coupe,0.3
Brooklyn,0.258579881656805,0.0479289940828402,0.000710059171597633,4.225,stirred,coupe,0.3
Bobby Burns,0.2625,0.046474358974359,0.00115384615384615,3.9,stirred,coupe,0.3
Rob Roy,0.265976331360947,0.0284023668639053,0.00106508875739645,4.225,stirred,coupe,0.3
Zim Zala Bim,0.266666601025667,0.0717949866666207,0,3.2500013,stirred,coupe,0.3
Vieux Carre,0.268910256410256,0.046474358974359,0.00115384615384615,3.9,stirred,old-fashioned,0.3
Manhattan,0.272377622377622,0.0335664335664336,0.00125874125874126,3.575,stirred,coupe,0.3
Bijou,0.285897435897436,0.105128205128205,0.00153846153846154,3.9,stirred,coupe,0.3
Improved Whiskey Cocktail,0.286153846153846,0.0742307692307692,0,3.25,stirred,old-fashioned,0.3
De La Louisiane,0.290384615384615,0.0519230769230769,0.000769230769230769,3.9,stirred,coupe,0.3
Sazerac,0.290598290598291,0.0525641025641026,0,2.925,stirred,old-fashioned,0.3
Toronto,0.291538461538462,0.0534615384615385,0,3.25,stirred,coupe,0.3
Agave Old Fashioned,0.307692260355037,0.0320513412228706,0,2.6000004,built,old-fashioned,0.2
Rum Old Fashioned,0.307692260355037,0.0394231497041308,0,2.6000004,built,old-fashioned,0.2
Scotch Old Fashioned,0.307692260355037,0.0576924142011671,0,2.6000004,built,old-fashioned,0.2
Pink Gin,0.307692307692308,0,0,2.6,stirred,coupe,0.3
Rusty Nail,0.307692307692308,0.0461538461538461,0,3.25,stirred,old-fashioned,0.3
Widow's Kiss,0.307692307692308,0.0428461538461538,0,3.25,stirred,coupe,0.3
Alaska Cocktail,0.307692307692308,0.08,0,2.925,stirred,coupe,0.3
Old Fashioned,0.326923026627227,0.0394231497041308,0,2.6000004,built,old-fashioned,0.2
